train_number,train_name,station_name,departure,source,destination
54314,Moradabad Chandausi Passenger,MORADABAD,16:10:00,NA,NA
16315,BANGALORE - KOCHUVELI Exp,BANGALORE CITY JN,17:15:00,NA,NA
58425,Kendujhargarh-Bhubaneswar Fast Passenger,Kendujhargarh,06:30:00,NA,NA
12502,NEW DELHI - GUWAHATI Poorvottar Sampark Kranti Exp,NEW DELHI,23:45:00,NA,NA
40555,Chennai Beach Chengalpet Semi Fast EMU,CHENNAI BEACH,18:30:00,NA,NA
12508,GUWAHATI - TRIVANDRUM SF Exp,GUWAHATI,06:30:00,NA,NA
52564,Silchar Agartala Passenger,SILCHAR,10:45:00,NA,NA
13160,JOGBANI - KOLKATA CHITPUR Exp,JOGBANI,14:35:00,NA,NA
53136,Rampurhat Sealdah Passenger,RAMPUR HAT,13:05:00,NA,NA
12549,DURG - JAMMU TAWI SF Exp,DURG,12:00:00,NA,NA
53325,Sindri Town Dhanbad Passenger,Sindri Town,11:30:00,NA,NA
15647,MUMBAI LTT - GUWAHATI Exp,LOKMANYA TILAK TERM,08:05:00,NA,NA
58402,Paradip Cuttack Passenger,Paradip,06:30:00,NA,NA
12496,KOLKATA CHITPUR - BIKANER Pratap Exp,KOLKATA CHITPUR,22:40:00,NA,NA
12509,BENGALURU - GUWAHATI (Kaziranga) SF Express,BANGALORE CANT,23:45:00,NA,NA
52465,PATHANKOT - PATHANKOT PASSENGER,PATHANKOT,07:00:00,NA,NA
19106,Haridwar-Ahmedabad Mail,HARIDWAR JN,15:25:00,NA,NA
52469,PATHANKOT - BAIJNATHPAPROLA PASSENGER,PATHANKOT,15:50:00,NA,NA
12077,Chennai Vijayawada Jan Shatabdi Express,CHENNAI CENTRAL,07:00:00,NA,NA
15933,Dibrugarh-Amritsar Weekly Express,DIBRUGARH,07:00:00,NA,NA
15109,Budhpurnima Express,Rajgir,23:30:00,NA,NA
15210,AMRITSAR - SAHARSA Jan Seva Exp,AMRITSAR JN,06:40:00,NA,NA
55560,Samastipur Khagaria Passenger,SAMASTIPUR JN,08:20:00,NA,NA
12876,NEW DELHI - PURI Neelanchal SF Exp,NEW DELHI,06:30:00,NA,NA
38418,Panskura Howrah EMU,PANSKURA,05:05:00,NA,NA
16336,NAGERCOIL - GANDHIDHAM Weekly Exp,NAGERCOIL JN,13:30:00,NA,NA
57156,Hyderabad Gulbarga Passenger,HYDERABAD DECCAN,16:30:00,NA,NA
15905,KANNIYAKUMARI - DIBRUGARH Vivek Exp,KANYAKUMARI,14:00:00,NA,NA
54107,Allahabad Jaunpur Passenger,ALLAHABAD JN,17:00:00,NA,NA
11098,ERNAKULAM - PUNE Poorna Exp,ERNAKULAM JN,23:30:00,NA,NA
12449,MADGAON - CHANDIGARH Goa Sampark Kranti Exp,MADGAON,11:20:00,NA,NA
12479,JODHPUR - MUMBAI BANDRA Suryanagari SF Exp,JODHPUR JN,18:45:00,NA,NA
63568,jhajha asansol memu,JHAJHA,13:20:00,NA,NA
12834,HOWRAH - AHMEDABAD SF EXP,HOWRAH JN,23:55:00,NA,NA
55231,Begusarai Mokama Passenger,LAKHO,06:05:00,NA,NA
14312,BHUJ - BAREILLY Ala Hazrat Exp,BHUJ,12:30:00,NA,NA
53422,KIUL JAMALPUR PASS,KIUL JN,09:10:00,NA,NA
12949,PORBANDAR - K SANTRAGANCHI Kavi Guru SF Exp,PORBANDAR,07:55:00,NA,NA
12515,RIVANDRUM - GUWAHATI Exp,TRIVANDRUM CENTRAL,12:50:00,NA,NA
12657,CHENNAI - BANGALORE Mail,CHENNAI CENTRAL,23:15:00,NA,NA
12603,Chennai - Hyderabad Express,CHENNAI CENTRAL,16:45:00,NA,NA
14056,OLD DELHI - DIBRUGARH Brahmaputra Exp,OLD DELHI,23:30:00,NA,NA
52508,Narkatiganj Raxaul Passenger,NARKATIAGANJ JN,04:00:00,NA,NA
12651,MADURAI - DELHI H NIZAMUDDIN Tamil Nadu S Kranti,MADURAI JN,23:55:00,NA,NA
